datetime,open,high,low,close
2026-08-14 21:10:00,4350.87144,4351.42074,4350.72227,4350.91684
2026-08-14 21:15:00,4351.20751,4355.4007,4349.84955,4355.02842
2026-08-14 21:20:00,4354.43307,4357.00114,4354.32526,4354.55856
2026-08-14 21:25:00,4354.87316,4357.29847,4353.69411,4357.11925
2026-08-14 21:30:00,4356.82034,4359.83125,4356.82034,4359.36926
2026-08-14 21:35:00,4358.45776,4362.8114,4358.45776,4362.46393
2026-08-14 21:40:00,4361.97921,4363.19211,4361.66965,4363.18389
2026-08-14 21:45:00,4363.12559,4363.12559,4361.2892,4361.47433
2026-08-14 21:50:00,4361.5268,4369.09673,4361.5268,4368.70017
2026-08-14 21:55:00,4368.04665,4368.66812,4365.98573,4368.14185
2026-08-14 22:00:00,4366.83892,4374.64456,4366.12816,4374.42151
2026-08-14 22:05:00,4374.0964,4375.41019,4372.96934,4375.23297
2026-08-14 22:10:00,4374.94501,4374.94501,4369.86541,4369.93003
2026-08-14 22:15:00,4370.14182,4372.34926,4369.48353,4371.52685
2026-08-14 22:20:00,4371.13697,4379.43574,4371.13697,4377.93973
2026-08-14 22:25:00,4378.2435,4381.55572,4377.70871,4379.25022
2026-08-14 22:30:00,4378.46017,4385.7199,4378.46017,4382.91273
2026-08-14 22:35:00,4383.22601,4383.86386,4377.1227,4377.49322
2026-08-14 22:40:00,4378.17517,4378.17517,4372.92286,4373.05415
2026-08-14 22:45:00,4373.32194,4376.03932,4371.20252,4375.37664
2026-08-14 22:50:00,4374.51095,4377.43749,4372.83983,4376.0411
2026-08-14 22:55:00,4375.37591,4377.59813,4373.49661,4374.37563
2026-08-14 23:00:00,4374.20036,4377.50444,4370.08531,4376.90681
2026-08-14 23:05:00,4375.36301,4379.24239,4375.36301,4377.01748
2026-08-14 23:10:00,4377.44168,4380.96907,4376.74211,4378.35048
2026-08-14 23:15:00,4379.28028,4379.8178,4374.92395,4379.59049
2026-08-14 23:20:00,4379.52037,4384.64057,4379.24239,4383.91012
2026-08-14 23:25:00,4382.24796,4386.34968,4382.24796,4384.959
2026-08-14 23:30:00,4385.15268,4390.30429,4384.58331,4389.953
2026-08-14 23:35:00,4389.49348,4395.79762,4389.49348,4395.51921
2026-08-14 23:40:00,4394.90395,4396.18411,4391.74352,4395.727
2026-08-14 23:45:00,4394.84668,4396.587,4387.11942,4389.72462
2026-08-14 23:50:00,4389.37764,4389.37764,4384.81101,4385.0705
2026-08-14 23:55:00,4385.51802,4385.51802,4383.65772,4383.7629
2026-08-15 00:00:00,4384.0846,4391.16498,4384.0846,4388.9587
2026-08-15 00:05:00,4388.80966,4391.26354,4388.80966,4391.17919
2026-08-15 00:10:00,4391.00227,4392.7081,4388.85232,4392.43674
2026-08-15 00:15:00,4391.88523,4391.88523,4388.41796,4390.55734
2026-08-15 00:20:00,4390.50665,4390.50665,4385.58021,4389.59061
2026-08-15 00:25:00,4387.52531,4393.09406,4387.52531,4391.91018
2026-08-15 00:30:00,4392.32066,4392.32066,4387.74458,4388.48077
2026-08-15 00:35:00,4390.13581,4390.13581,4384.70678,4384.84362
2026-08-15 00:40:00,4385.22993,4387.23017,4382.50504,4382.80998
2026-08-15 00:45:00,4382.92683,4384.39328,4380.20149,4381.17874
2026-08-15 00:50:00,4380.96674,4382.26765,4379.79426,4382.0444
